TrafficCostID,TrafficCost,TrafficCost%
1,50086,77.03
2,9201,14.1
3,2002,2.98
4,1990,2.93
5,295,0.44
6,480,0.73
7,518,0.79
8,201,0.28
9,40,0.06
10,25,0.03
