TrafficID,Traffic,Traffic(%)
1,13520,72.19
2,2810,14.96
3,846,4.44
4,1024,5.3
5,106,0.56
6,128,0.66
7,125,0.65
8,81,0.38
9,28,0.13
10,4,0.02
